"Page","Section","Section Description"
"","Hero Header Section","H1: <span class=""weight-700"">Master Money.</span> <span class=""weight-400"">Master</span> <span class=""weight-700 italic"">Markets.</span> Subhead: DAYRADE isn't just competition—it's education. Learn trading psychology, risk management, technical analysis, and market fundamentals. Free, accessible, actionable. CTA: Start Learning"
"","Feature Section","H2: <span class=""weight-700"">Knowledge</span> <span class=""weight-400"">is Your</span> <span class=""weight-700 italic"">Edge.</span> Body: 90% of traders lose because they lack education. Markets reward discipline, not luck. Whether you compete or just want to understand finance, we provide the foundation."
"","Features List Section","H2: Build Your Financial Foundation. Trading Psychology — Control emotions. Avoid revenge trading. Build discipline. Risk Management — Protect capital. Size positions correctly. Never blow up. Technical Analysis — Read charts. Identify patterns. Time entries. Market Fundamentals — Understand economics. Follow news. Think like a pro."
"","Features List Section","H2: Choose Your Path. Daily Lessons — Bite-sized lessons on key concepts. New content daily. Interactive quizzes. Glossary — Decode financial jargon. From ""Arbitrage"" to ""Zigzag Indicator."" Simple definitions. Courses (Coming Soon) — Structured multi-week programs. Beginner to advanced. CTA: Browse Daily Lessons"
"","Feature Section","H2: <span class=""weight-700"">Apply What</span> <span class=""weight-400"">You</span> <span class=""weight-700 italic"">Learn.</span> Body: Knowledge without action is useless. Take lessons into Elevator Division. Practice risk-free. See your skills improve. CTA: Enter Elevator Division"
"","Footer",""
"Daily Lessons","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","Mixed-Weight Headline: <span class=""weight-700"">Master the Markets,</span> <span class=""weight-400"">One</span> <span class=""weight-700 italic"">Lesson at a Time.</span> Subheadline: Our daily lessons break down complex financial topics into simple, actionable insights. Build your knowledge, boost your confidence, and make smarter decisions—in and out of the arena."
"","Feature Section","H2: Find Your Next Lesson. Visual: Filterable grid of lesson cards (title, difficulty tag, completion time). Filter Categories: • Trading Psychology • Technical Analysis • Risk Management • Market Fundamentals. Featured Lesson: ""The 3 Pillars of a Trading Plan"""
"","How It Works Section","H2: Learn, Practice, Master. Step 1: Daily Insights - New lessons are added daily. Learn about a new concept in just a few minutes. Step 2: Interactive Quizzes - Test your knowledge with a short quiz at the end of each lesson to reinforce learning. Step 3: Apply in the Arena - Take what you've learned and apply it in the low-stakes Elevator division to see your new skills in action."
"","CTA Section","H2: <span class=""weight-700"">Invest in</span> <span class=""weight-400"">Your Most</span> <span class=""weight-700 italic"">Important Asset: You.</span> CTA: Start Your First Lesson"
"","Footer",""
"Single Lesson Page","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Blog Post Header Section","Header with the lesson title and a brief introduction to the lesson."
"","Feature Section","Highlight the key takeaway or main idea of the lesson."
"","Blog Post Body Section","Detailed content of the lesson, broken down into easily digestible sections."
"","Features List Section","Three important points or strategies covered in the lesson."
"","Benefits Section","How applying the lesson can benefit the trader’s skills and performance."
"","How It Works Section","Step-by-step guide or actionable steps based on the lesson content."
"","CTA Section","Encourage users to apply the lesson by joining a tournament or practicing in a demo account."
"","Testimonial Section","Quote or feedback from an expert or experienced trader about the lesson’s topic."
"","Contact Section","Provide contact details for further questions or support related to the lesson."
"","Newsletter Section","Prompt users to sign up for the newsletter for more lessons and updates."
"","Footer",""
"Glossary","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","Mixed-Weight Headline: <span class=""weight-700"">The Ultimate</span> <span class=""weight-400"">Financial</span> <span class=""weight-700 italic"">Decoder.</span> Subheadline: From ""Arbitrage"" to ""Zigzag Indicator,"" our glossary breaks down complex trading terms into simple, easy-to-understand definitions. Never feel lost in the jargon again. Search Bar: Prominent, beautifully designed search bar."
"","Features List Section","H2: The Glossary A-Z. Visual: Alphabetical index (click a letter to scroll to that section). Interaction: Each term is a clickable card that expands to reveal: 1️⃣ Simple Definition. 2️⃣ Example. 3️⃣ Related Lessons (links to Daily Lessons)."
"","Footer",""
"Single Glossary Term Page","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Header Section","Title of the glossary term and a brief definition or description."
"","Feature Section","Detailed explanation of the glossary term, including its significance in trading and financial markets."
"","How It Works Section","Breakdown of how the term is applied in real-world trading scenarios, with examples."
"","Testimonial Section","Quotes or insights from experts or traders on the importance of understanding this term."
"","Benefits Section","Benefits of understanding and applying the glossary term in day trading."
"","Features List Section","Related terms or concepts that are connected to the glossary term."
"","CTA Section","Encourage readers to explore more glossary terms or sign up for DAYRADE to improve their trading skills."
"","Contact Section","Provide contact information for further inquiries or support related to the glossary term."
"","Footer",""
"Community","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","H1: <span class=""weight-700"">Trade Alone.</span> <span class=""weight-400"">Win</span> <span class=""weight-700 italic"">Together.</span> Subhead: DAYRADE is more than a platform—it's a community. Learn from pros, share strategies, celebrate wins, and grow with traders worldwide. CTA: Join Discord"
"","Feature Section","H2: <span class=""weight-700"">Isolation</span> <span class=""weight-400"">Kills</span> <span class=""weight-700 italic"">Traders.</span> Body: Trading alone means no feedback, no accountability, no support. Our community provides all three. Learn faster. Stay disciplined. Celebrate together."
"","Features List Section","H2: Connect, Learn, Grow Podcast — Weekly insights, pro interviews, tournament recaps. Your dose of market wisdom. Blog & Episodes — In-depth articles, transcripts, analysis. Deep-dive content. Player Spotlights — Real stories from traders climbing the ranks. Learn their strategies. Discord (Coming Soon) — Real-time chat. Strategy sharing. Live support. Streams (Coming Soon) — Watch top traders compete live. Learn by observing. CTA: Explore Content"
"","Feature Section","H2: <span class=""weight-700"">Your Story</span> <span class=""weight-400"">Could Be</span> <span class=""weight-700 italic"">Next.</span> Body: Consistent performer? Unique strategy? Powerful comeback story? We feature community members on our podcast and blog. Share your journey. CTA: Submit Your Story"
"","Feature Section","H2: Build Your Brand with Ours Body: Streamers, educators, content creators—partner with DAYRADE. Access our Creator Kit, earn through affiliates, grow your audience. CTA: View Creator Kit"
"","Footer",""
"Podcast","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","HTML: <span class=""weight-700"">The Dayrade Down-Low:</span> <span class=""weight-400"">The Official</span> <span class=""weight-700 italic"">Podcast.</span> Subheadline: Tune in for weekly insights, pro trader interviews, tournament recaps, and deep dives into the psychology of winning. Your weekly dose of market wisdom and community stories. Subscription Buttons: Spotify"
"","Feature Section","Visual: Large featured card with: Embedded audio player, Episode Title & Number, Show Notes (brief summary), Guest Bio (if applicable), Key Takeaways (3-4 bullet points)"
"","Feature Section","Section Headline: Explore the Archives. Visual: Filterable grid of past episode cards. Filter Categories: Trader Interviews, Psychology & Discipline, Tournament Strategy, Market News"
"","Feature Section","Section Headline: You Could Be Our Next Guest. Body: We believe the best stories come from our community. Are you a trader with a unique strategy, a powerful story of overcoming challenges, or a consistent track record in our tournaments? We want to hear from you. CTA: Share Your Story"
"","Footer",""
"Blog / Episodes","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","Mixed-Weight Headline: <span class=""weight-700"">The Dayrade Debrief:</span> <span class=""weight-400"">Insights &</span> <span class=""weight-700 italic"">Analysis.</span> Subheadline: In-depth articles, podcast episode transcripts, and written analysis from our team of experts. Your go-to source for deep-dive content."
"","Blog List Section","Visual: Classic blog layout with a list of articles featuring a large, prominent post at the top. Each item includes a featured image, title, excerpt, and author. Categories: Podcast Transcripts, Market Analysis, Community Stories, Platform Updates."
"","Footer",""
"Player Spotlights","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","HTML <span class=""weight-700"">From the Arena:</span> <span class=""weight-400"">The Stories</span> <span class=""weight-700 italic"">Behind the Stats.</span> Subheadline: Meet the traders who are climbing the ranks. Learn their strategies, their struggles, and their secrets to success. These are the legends in the making."
"","Feature Section","H2: Meet the Legends. Brief intro to the featured traders and what makes them unique. Highlight the diversity in strategies and backgrounds."
"","Gallery Section","H2: The Spotlights. A grid of beautifully designed profile cards for each featured trader. Each card includes a thumbnail image, name, division, and a short teaser. Interaction: Click a card to read the full interview."
"","Feature Section","H2: Trader of the Month. Highlight the standout trader of the month with a larger card. Include a brief excerpt from their interview and a CTA to read the full story."
"","Features List Section","H2: What You'll Learn. 1️⃣ Their Story: How they got started in trading. 2️⃣ Their Strategy: High-level overview of their trading approach. 3️⃣ Their Advice: Tips for new traders. 4️⃣ Their DAYRADE Journey: How the platform helped them. 5️⃣ Social Links: Links to their profile and social media."
"","CTA Section","H2: Think You Have What It Takes? Join DAYRADE and start your journey to become the next featured trader. CTA: Sign Up Now"
"","Footer",""
"About","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","H1: <span class=""weight-700"">Trading Should Be</span> <span class=""weight-400"">a</span> <span class=""weight-700 italic"">Sport.</span> Subhead: We're building the arena where skill wins, education empowers, and community thrives. Fair. Transparent. For everyone. CTA: Read Our Story"
"","Feature Section","H2: <span class=""weight-700"">Democratize</span> <span class=""weight-400"">Financial</span> <span class=""weight-700 italic"">Skill.</span> Body: Most trading platforms are predatory. We're different. Our mission: provide a transparent, skill-based arena where anyone can compete, improve, and succeed. Education. Integrity. Community."
"","Feature Section","H2: What We Stand For Body: **Fairness** — Everyone starts equal. Skill determines rank, not bank account. **Education** — Financial literacy is a right, not a privilege. Free for all. **Transparency** — No hidden fees. No manipulation. Clear rules. Open communication. **Community** — Traders support traders. We grow together."
"","Features List Section","H2: Get to Know Us List: - **Our Story** — How DAYRADE was born and where we're headed. - **Contact & Support** — Questions? Issues? We're here to help. - **FAQ** — Answers to common questions about tournaments, rewards, and safety. CTA: Explore"
"","Footer",""
"About","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","Mixed-Weight Headline: <span class=""weight-700"">We Believe</span> <span class=""weight-400"">Trading Should Be</span> <span class=""weight-700 italic"">a Sport.</span> Subheadline: DAYRADE was founded by a team of traders, gamers, and technologists who were tired of the lonely, unstructured, and often predatory world of retail trading. We decided to build something better."
"","Feature Section","Section Headline: Our Mission: To Make Trading Fair, Accessible, and Engaging. Body: Our mission is to democratize financial skill by providing a transparent, skill-based arena where anyone can compete and improve. We are committed to fostering a community built on integrity, education, and healthy competition. We believe that by treating trading like a sport, we can elevate the entire industry and empower a new generation of informed, disciplined traders."
"","Feature Section","Section Headline: The Minds Behind the Arena. Visual: Professional headshots or character portraits of the founding team. Content: Short bios for each key team member, highlighting expertise in finance, technology, and gaming."
"","Feature Section","H2: The DAYRADE Difference. Body: Unlike traditional trading platforms, DAYRADE offers a structured, esport-inspired experience. Compete in time-bound tournaments with transparent rules and fair play. Our unique approach blends financial education with competitive excitement, making trading accessible to everyone, regardless of experience."
"","Features List Section","H2: Core Values. Integrity: Transparent operations and fair competition. Education: Empowering traders with knowledge and skills. Community: Building a supportive, engaged network. Innovation: Continuously improving our platform and features."
"","Team Section","H2: Meet Our Founders. Visual: More detailed headshots or character sketches. Content: Expanded bios, focusing on personal stories, professional achievements, and their vision for DAYRADE."
"","Testimonial Section","H2: Voices from the Arena. Body: Quotes from early users and beta testers, sharing their experiences and how DAYRADE has impacted their trading journey."
"","About Section","H2: Our Journey. Body: A timeline or narrative detailing the inception of DAYRADE, key milestones, and future goals. Highlight the challenges faced and overcome by the team, and the continuous effort to refine the platform."
"","Footer",""
"Contact / Support","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","HTML: <span class=""weight-700"">We're Here</span> <span class=""weight-400"">to</span> <span class=""weight-700 italic"">Help.</span> Subheadline: Have a question, a technical issue, or feedback? Our team is ready to assist you. Find the best way to get in touch below."
"","Feature Section","H2: Instant Answers. Find answers to common questions in our comprehensive Help Center. CTA: Search the Help Center"
"","Feature Section","H2: Submit a Ticket. For specific account or technical issues, submit a ticket, and our support team will get back to you within 24 hours. CTA: Open a Support Ticket"
"","Feature Section","H2: Join the Community. For general questions and community discussion, join our official Discord server. CTA: Join our Discord"
"","Contact Section","H2: Direct Contact. Need more help? Email us at support@dayrade.com or call +1-800-123-4567. Office hours: Mon-Fri, 9 AM - 6 PM (EST)."
"","Contact Form Section","H2: Send Us a Message. Fill out the form below with your query, and we'll get back to you as soon as possible. Fields: Name, Email, Subject, Message, Submit Button"
"","FAQ Section","H2: Frequently Asked Questions. Quick answers to the most common questions from our users. Search bar for easy navigation."
"","Footer",""
"FAQ","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","<span class=""weight-700"">Questions?</span> <span class=""weight-400"">We Have</span> <span class=""weight-700 italic"">Answers.</span> Subheadline: Find quick answers to the most common questions about DAYRADE, tournaments, and how to get started."
"","FAQ Section","**Category 1: Getting Started** Q: How do I create an account? A: Click ""Sign Up Now"" and follow the onboarding flow. You'll create your spirit animal, build your profile card, and be ready to compete in under 2 minutes. Q: Is DAYRADE free? A: Registration is free. The Elevator Division is free to enter. Crusader and Raider divisions require tickets, which can be purchased or earned through rewards. Q: What is KYC and why is it required? A: KYC (Know Your Customer) is a verification process that ensures fair play by preventing multiple accounts. It's required to compete in tournaments and withdraw winnings."
"","FAQ Section","**Category 2: Tournaments** Q: How do tournaments work? A: Tournaments are time-bound competitions where all participants start with the same virtual capital. Your performance determines your rank. Top performers win prizes. Q: What are the different divisions? A: Elevator (beginners, free entry), Crusader (intermediate, low-cost tickets, up to $1,000 prizes), and Raider (advanced, premium tickets, up to $10,000 prizes). Q: How do I enter a tournament? A: Browse the schedule, select a tournament, and register with a ticket. You'll receive access to your tournament trading account when the event begins."
"","FAQ Section","**Category 3: Rewards & Prizes** Q: How do I earn reward points? A: Complete daily lessons, refer new users, and participate in community events. Points can be redeemed for free tournament tickets. Q: How do I withdraw my winnings? A: Cash prizes are credited to your account within 24 hours of tournament completion. You can withdraw to your bank account or crypto wallet from your dashboard. Q: What is user status? A: User status is a progression system that unlocks perks like early tournament access, exclusive community channels, and priority support."
"","FAQ Section","**Category 4: Safety & Security** Q: Is my data safe? A: Yes. We use 256-bit encryption and comply with international data protection standards. Your information is never sold or shared. Q: How do you prevent cheating? A: Our anti-cheat system monitors all activity in real-time. KYC ensures one account per person, and suspicious behavior is flagged immediately."
"","CTA Section","H2: Still Have Questions? Body: If you didn't find what you're looking for, our support team is here to help. CTA: Contact Support"
"","Footer",""
